インタプリタ|ソースコードを、1命令ずつ解釈して実行するプログラム
コンパイラ|ソースコードを、一括して機械語のプログラムに翻訳するプログラム
情報セキュリティの3要素|気密性、間全盛、可用性
驚異|情報システムにたいして悪い影響を与える要因のこと
ソーシャルエンジニアリング|人の心理のつきをついて機密情報を入手する行為
情報セキュリティポリシ|企業が保護すべき情報資産と、それを保護する理由を明示したもの。
CSIRT(Computer Security Incident Response Team)|企業や官公庁などの組織にも受けるセキュリティ対策チームのこと
BYOD(Bring your own device)|従業員が個人的に所有する個人的端末を業務に利用すること
MDM(Mobile Device Manegement)|会社や組織体が従業員に貸与する端末の設定やアプリケーションを一元管理する仕組み
ISMS適合評価制度|情報セキュリティマネジメントの運用状況を定期的に評価し、見直しや改善を行う[PDCAサイクル]を実施していきます。
デジタルフォレンジクス|HDDやUSBのメモリを複製したり、ネットワークやサーバ監視をしたりして、コンピュータ犯罪の証拠となる電子データを集め、解析することです。
PCの廃棄|機密ファイルの格納されたPCを廃棄する際の情報漏洩対策データ消去要素府とでビット列を上書きしたり、ディスク破砕を行う。
ユーザ認証|PCシステムをしようする際に、利用者が使用することを虚されているかを確認すること。
PIN(Personal identification Number)|個人を識別する番号
バイオメトリクス認証|指紋認証、顔認証、声紋認証
コールバック|電話をかけ直す
コンピュータウィルス|大3者のプログラムやデータベースにたいして意図的に何らかの被害を及ぼすように作られたプログラム
事故伝染昨日|自らの昨日によって他のプログラムに自らをコピーしシステム機能を利用して自らを他のシステムにコピーすることにより、他のシステムに伝染する機能
潜伏機能|発病するための特定時刻、一定時間、処理回数等の条件を記憶させて、発病するまで症状を出さない機能
発病機能|プログラム、データ等のファイルの破壊を行ったり、設計者の意図しない動作をする等の機能
ファイル観戦型|アプリケーションなどの実行が他ファイルに感染する
ブートセクタ感染型|ブートセクタに感染する。ブートセクタにはOSを起動するためのプログラムが書き込まれている。
マクロウィルス|ワープロソフトや表計算ソフトなどのアプリケーションのマクロ機能を悪用したもので、データファイル経由で侵入する。
トロイの木馬|プログラムの一部を密かに入れ換えて、本来の使用通りに機能させながら、データの不正コピー、悪用、改竄などの不正を意図的に実行する
ワーム|ネットワーク経由でコンピュータ間を自己複製しながら移動・常時破壊活動を行う。作成が用意であるため、種類は急増している。
マルウェア|悪意をもって作成された不正なプログラムの総称
スパイウェア|コンピュータ利用者のIPアドレスやWeb閲覧履歴などの個人情報を収集して外部へ送信する。
ボット|感染したコンピュータを、ネットワークを通じて外部から操り、迷惑メールを送信したり、他のコンピュータを攻撃するDos攻撃やDDos攻撃の踏み台に利用したりする。
ランサムウェア|勝手にデータを暗号化して正常にアクセスできないようにし、もとに戻すための代金を要求するソフト。
バックドア|裏口。企業やネットワークやサーバに、侵入者が通常のアクセス経路以外で侵入するために組み込みます。
ウィルス対策ソフト|ウィルス定義ファイルは常に最新にする。
ウィルス感染|ネットワークから切り離す。
