ハブ|LANにおけるネットワークケーブルを一つに接続する(まとめる)集線装置のこと。|["接続機器","中継機器","配線集中機","回線集約機","配線ハブ","集線ボックス"]
ルータ|異なるネットワーク同士を中継する通信機器のこと。|["中継器","経路制御器","パケット転送機","通信機器","中継装置","ゲートウェイ"]  
ゲートウェイ|規格の異なるネットワークどうしを接続し、プロトコルやデータを相互に変換して通信を可能にする機器。|["プロトコル変換機","中継装置","通信機器","プロトコルコンバータ","通信ゲートウェイ","接続機器"]
プロトコル|コンピュータネットワークにおいてデータを送受信する時の手順を定めた規約をさす、その役割によりさまざまなプロトコルがある。|["通信規約","送受信規則","通信手順","データ転送方式","通信方式","規約"]
TCP/IP|現在最も普及しているインターネットの標準的なプロトコル、ネットワーク上で送信されるデータは分割されて、IPアドレスをもとに目的のコンピュータに送られる。|["標準プロトコル","インターネット規約","通信規約","分割送信方式","アドレス指定送信","TCP/IP規格"]
HTTP|WebサーバとWebブラウザとの間で、HTML文書や関連した画像などのデータを送受信するためのプロトコル。|["Web通信規約","ブラウザ送受信規約","HTML送受信プロトコル","ウェブ用プロトコル","ハイパーテキスト転送プロトコル","Webデータ転送プロトコル"]
FTP|ネットワークを介してファイルを転送するためのプロトコル、HTMLファイルをWebサーバへアップロードしたり、データやソフトウェアをダウンロードしたりする時などに使われる。|["ファイル転送プロトコル","リモートファイル転送規約","ファイル送受信規約","遠隔ファイル転送方式","ファイル交換用プロトコル","転送ファイルプロトコル"]
POP|メールサーバのメールボックスから電子メールを受信者のコンピュータへ受信するために用いるプロトコル。|["メール受信プロトコル","メール取得規約","メールダウンロードプロトコル","受信メールプロトコル","メールボックスアクセスプロトコル","メール取得方式"]
IMAP|メールサーバ上で電子メールを管理するプロトコル、複数の端末で閲覧できる。|["メール操作プロトコル","メール制御プロトコル","メール管理規約","メールアクセスプロトコル","複数端末メールプロトコル","メール用プロトコル"]
SMTP|電子メールを送信者のコンピュータからメールサーバへ送信するときやメールサーバ間でメールを転送する時に用いるプロトコル。|["メール送信プロトコル","メール配送プロトコル","メール転送規約","送信メールプロトコル","メールサーバ送受信プロトコル","メール輸送プロトコル"]
DHCP|コンピュータをネットワークに接続するときに、IPアドレスなどを自動的に割り当てるプロトコル。|["アドレス自動割当プロトコル","IP設定プロトコル","アドレス設定プロトコル","IP自動設定プロトコル","アドレス自動取得プロトコル","IP自動取得プロトコル"]
MACアドレス|コンピュータやプリンタをLANに接続するために必要な、LANカードにつけられた固有の番号。|["物理アドレス","ハードウェアアドレス","固定アドレス","NICアドレス","カード識別番号","ネットワークアドレス"]
IPアドレス|TCP/IPプロトコルを用いたネットワーク上で、コンピュータを識別するためのアドレス、IPアドレスはネƒƒットワーク部とホスト部から構成される。|["TCP/IPアドレス","位置特定番号","ネットワークアドレス","コンピュータアドレス","通信アドレス","インターネットアドレス"]
プライベートIPアドレス|会社や家庭などのLAN内部でコンピュータ機器を識別するための番号、ネットワークアドレス部とホストアドレス部で構成されている。|["内部IPアドレス","個人アドレス","ローカルアドレス","LAN内アドレス","限定公開アドレス","非公開アドレス"]
グローバルIPアドレス|インターネット上での住所に当たり、インターネットに接続されたコンピュータ機器を識別するための番号、インターネット上で通信を行うためには不可欠で、他のアドレスと重複しない一意のIPアドレス。|["公開IPアドレス","外部アドレス","一般アドレス","インターネット必須アドレス","世界共通アドレス","一意の通信アドレス"]
サブネットマスク|IPアドレスにおいて、ネットワークアドレスとホストアドレスを識別するための数値。|["ネットマスク","マスク値","アドレス分割設定","部位識別番号","アドレス構成設定値","IP区分設定値"]
ネットワークアドレス|IPアドレスを構成するビット列のうち、個々の組織が管理するネットワークを識別するのに使われる部分。|["ネットワーク識別番号","使用者グループ番号","組織別アドレス","ネットワーク値","グループアドレス","ネットワーク固有番号"]
ホストアドレス|同一のネットワークグループ内で接続された個々のコンピュータ機器を識別するためのアドレス。|["ホスト識別番号","ホスト固有番号","機器個別アドレス","端末識別番号","個体アドレス","固体識別番号"]
ブロードキャストアドレス|ネットワークに接続されているすべての機器にデータを送信する特別なアドレス。|["全送信アドレス","同報アドレス","全体配信アドレス","グループ送信アドレス","一斉配信アドレス","ネットワーク送信アドレス"] 
ポート番号|TCP/IPを用いたネットワーク上で、IPアドレスに設けられている補助アドレスであり、アプリケーションの識別をするための番号。|["TCPポート番号","UDPポート番号","アプリケーションポート番号","通信ポート番号","接続端子番号","通信補助番号"]
NAT|インターネットのグローバルIPアドレスとプライベートIPアドレスを相互に変換し、LAN内のコンピュータがインターネットを利用できるようにするためのアドレス変換の技術。|["アドレス翻訳","IPマスカレード","アドレス変換方式","IPアドレス変換","アドレス置換え","IPアドレス対応"]
DMZ|“非武装地帯“と呼ばれインターネットなどの外部ネットワークと内部ネットワークから隔離された区域のこと。|["中立地帯","隔離セグメント","外部公開セグメント","公開セグメント","区切りセグメント","保護セグメント"]
DNS|ネットワークに接続されたコンピュータのドメイン名とIPアドレスを互いに変換するサーバ。|["ドメインネームサーバ","ネームサーバ","アドレス変換サーバ","IP変換サーバ","ホスト名変換サーバ","名称解決サーバ"]
VPN|インターネット上に構築される仮想的な専用回線、なりすましやデータの改ざんなどを防止でき、専用回線より安価に導入ができる。|["仮想プライベートネットワーク","暗号化ネットワーク","安全ネットワーク","秘匿ネットワーク","認証ネットワーク","保護ネットワーク"]
通信速度(bps)|1秒間に転送できるデータのビット数。|["転送速度","送信速度","回線速度","通信レート","データレート","伝送速度"]
シンクライアント|企業の情報システムにおいて社員が使うコンピュータに最低限の機能しか持たせず、サーバ側でアプリケーションソフトやファイルなどの資源を一括管理するシステムの総称。|["シン端末","軽量クライアント","表示端末","アプリケーション集中型端末","サーバ依存型端末","リソース共有型端末"]
Cookie|Webサイトで閲覧した商品情報や訪問日時などの履歴情報を、ユーザのコンピュータ内に一時的に保存するしくみ。|["ウェブクッキー","ブラウザデータ","サイト記録","閲覧履歴","サイト設定","トラッキングクッキー"]
MIME|音声や画像などのマルチメディアデータを電子メールで送受信するために、バイナリデータをASCIIコードに変換する方法やデータの種類を表現する方法などを規定したもの。|["マルチメディアメール","添付ファイル規約","メディア対応メール","データ変換規格","メールデータ規格","メール標準化規格"]
VoIP|音声データをパケット変換することでインターネット回線などを音声通話に利用する技術。|["IP電話","ネット電話","パケット音声","ディジタル電話","インターネット電話","ネットワーク電話"]
共通鍵暗号方式|インターネットでデータを送受信する際に、第三者に内容が知られないようにデータを変換する場合、同一の鍵を用いて暗号化と復号を行う方法。|["対称鍵暗号方式"," 一括暗号方式"," 共用鍵方式"," 暗号化復号共通鍵"," 等価鍵方式"," 一鍵方式"]
公開鍵暗号方式|インターネットでデータを送受信する際に、第三者に内容が知られないようにデータを変換する場合、異なる鍵を用いて暗号化と復号を行う方法。|["非対称鍵暗号方式"," 別鍵方式"," 暗号化公開鍵方式"," 復号秘密鍵方式"," 公開鍵方式"," 異鍵方式"]
電子署名|電子メールや電子商取引において、送信されるデータが正しい送信者からのものであり、途中で改ざんされていないことを証明するもの。|["データ証明"," データ保証"," 電子証明"," 送信元証明"," 改ざん検知"," データ保全"]
ディジタル署名|電子署名の一種、一般に公開鍵暗号方式を利用して送受信される、電子商取引でよく利用される。|["デジタル証明"," 電子商取引用署名"," 暗号署名"," 公開鍵署名"," 電子取引用署名"," 暗号化署名"]
認証局(CA)|電子商取引事業者などに暗号通信などで必要となる公開鍵の正当性を保証するディジタル証明書を発行する機関。|["認定局"," 認証機関"," 証明書発行機関"," 公開鍵保証機関"," デジタル証明機関"," 認定機関"]
SSL|オンラインショッピングなどでやり取りする個人情報などのデータを暗号化し、ブラウザを介してインターネット上で安全に送受信するための技術、ブラウザのURLを示す部分は「https://」で始まる。|["Secure Socket Layer"," データ保護プロトコル"," 暗号化通信"," 安全通信"," HTTPS"," セキュア通信"]
HTTPS|WebサーバとWebブラウザとの通信で用いられるHTTPに通信内容の暗号化や通信相手の認証といった暗号化機能であるSSLもしくはTLSを付加したプロトコル。|["ハイパーテキスト転送安全プロトコル"," HTTP over SSL/TLS"," 安全HTTP"," 暗号化HTTP"," 認証付きHTTP"," セキュアHTTP"]
ログファイル|コンピュータの利用状況やデータ通信の状況を記録したファイルのこと、操作やデータの送受信が行われた日時と、行われた操作の内容や送受信されたデータの中身などが記録される。|["操作履歴ファイル"," システムログファイル"," 通信履歴ファイル"," システム利用記録"," 通信記録ファイル"," コンピュータ記録"]
システムログ|コンピュータシステムの動作状態を記録したもの。|["システム動作ログ"," 運用記録"," 作動記録"," システム記録"," 動作履歴"," 運用履歴"]
アクセスログ|Webサーバへアクセスした日付や時刻、アクセス元のIPアドレス、処理にかかった動作時間などを記録したもの。|["ウェブアクセスログ"," サーバー利用記録"," サイト訪問記録"," ウェブログ"," サイトアクセス履歴"," サーバー動作記録"]
インシデント|コンピュータシステムやネットワークの運用時に、セキュリティ上の問題として発生した事故や事例のこと。|["セキュリティインシデント"," インシデント事例"," セキュリティ事故"," セキュリティ事件"," インシデント事象"," 事故事例"]
リスクマネジメント|リスクが発生する前に、そのリスクを組織的に管理し、リスクの発生による損失を回避、または不利益を最小限に抑えるためのプロセス。|["リスク管理"," 危機管理"," リスク対策"," リスクコントロール"," 危険回避"," 事前対策"]
リスクアセスメント|リスクマネジメントに対する一連の活動としてリスク特定、リスク分析、リスク評価を行う。|["リスク評定"," リスク分析"," 危険度評価"," リスク検討"," 危険性調査"," リスク考察"]
クロスサイトスクリプティング|SNSや掲示板などのユーザが入力した内容を表示するWebページの脆弱性を利用した罠を仕掛け、偽サイトに誘導してさまざまな被害を引き起こす攻撃のこと。|["XSS"," サイト横断スクリプト"," Webページ攻撃"," サイト内送攻撃"," 仕掛けサイト攻撃"," 悪用サイト攻撃"]
ソーシャルエンジニアリング|心理的な隙や行動のミスに漬け込むなど、情報通信技術を使用せず、情報資産を不正に収集する手口の総称、覗き見やなりすましなどがある。|["人的手法"," 心理操作"," 人の弱み利用"," ソフト手段"," 人為的手法"," 社会的手法"]
SQLインジェクション|データベースと連携したWebアプリケーションの脆弱性を利用して不当なSQL文を実行させるうことにより、データベースの不正な閲覧や改ざんをする攻撃のこと。|["SQL注入"," DB攻撃"," データベース攻撃"," SQL文挿入"," クエリ改ざん"," DB改竄"]
情報落ち|有効数字の桁数に限りがある浮動少数演算において、絶対値の大きい数と絶対値の小さい数の、加減算を行ったとき、絶対値の小さい数が計算結果に反映されない誤差のこと。|["桁落ち"," 情報消失"," 計算誤差"," 小数点以下落ち"," 有効数字喪失"," 情報喪失"]
桁落ち|計算結果が極端に0に近くなる浮動小数点演算を行った時に有効数字の桁数が少なくなること。|["端数切捨て"," 有効桁減少"," 桁数減少"," 計算結果桁減"," 結果桁喪失"," 桁欠損"]
丸め誤差|数値表現の桁数に限度があるとき、最小の桁より小さい部分について四捨五入、切り上げまたは切り捨てを行うことによって生じる誤差のこと。|["端数処理誤差"," 丸め処理誤差"," 桁数誤差"," 小数処理誤差"," 数値表現誤差"," 数字処理誤差"]
キュー|データを保存するときはデータの並びの末尾に保存され、データを取り出すときはデータの並びの先頭から取り出される方法。|["待ち行列"," FIFO"," 先入れ先出し"," 入れ物"," データ列"," 配列"]
スタック|データを保存するときも取り出すときもデータの末尾から行う方法。|["LIFO"," 後入れ先出し"," データ棚"," 受け皿"," データ入れ物"," データ保存方式"]
リスト|データの位置を示す値によってつなげられたデータ構造。|["連結リスト"," リンクリスト"," データ構造"," 配列"," データ要素連鎖"," データ連鎖"]
シフト演算|2進数のビットパターンを右または左にずらす演算。|["ビットシフト"," レジスタシフト"," ビット移動"," ビットローテート"," ビット回転"," ビット順次変換"]
オブジェクト指向|システムの設計で、システムを処理や操作の対象となるもの同士のやり取りの関係として設計する考え方。|["対象指向"," OOP"," オブジェクト設計"," 部品指向設計"," モジュール指向"," オブジェクト対応"]
オブジェクト|システムの設計で処理や操作の対象となるもの。|["オブジェクト個体"," オブジェクト要素"," 対象物"," モジュール部品"," 設計単位"," オブジェクトモデル"]
クラス|オブジェクト指向でいくつかのオブジェクトに共通する性質を抜き出して、属性・手続きを一般化して新しく定義したもの、またはプログラムの単位。|["オブジェクト種類"," オブジェクト分類"," オブジェクト定義"," オブジェクト抽象化"," オブジェクトカテゴリ"," オブジェクトグループ"]
インスタンス|オブジェクト指向でクラスの定義情報から生成された具体的なデータを持つ実体のこと。|["オブジェクト個体"," 具象オブジェクト"," 実オブジェクト"," インスタンスオブジェクト"," 個別オブジェクト"," 実体オブジェクト"]
カプセル化|オブジェクト指向でデータとそのデータに対する手続きを一つにまとめること。|["データ隠蔽"," 情報隠蔽"," オブジェクト統合"," オブジェクト内包"," データ内包"," 情報内包"]
リカーシブ|実行中に自分自身を呼び出し(再帰呼び出し)しても正しく実行することができるプログラムの性質。|["再帰的"," 再起的"," 自己呼出し"," 繰返呼出し"," 反復呼出し"," 循環呼出し"]
リロケータブル|主記憶上のどのアドレスに配置(再配置)しても正しく実行することができるプログラムの性質。|["位置独立"," 配置変更可能"," 再配置可能"," 移動可能"," 位置回収"," 配置自由"]
リエントラント|複数のタスクが同時に共有して実行(再入)しても正しく実行することができるプログラムの性質。|["多タスク対応"," 同時実行可能"," 並列処理対応"," 共有可能"," 入れ子実行"," 再入可能"]
リユーザブル|一度実行した後再ロードし直さずに実行(再使用)しても正しく実行することができるプログラムの性質。|["再利用可能"," 二度使用"," 繰返し使用"," 保持実行"," 継続使用"," 再使用性"]
トップダウンテスト|階層構造のモジュール群からなるソフトウェアの結合テストの進め方の一つ、上位モジュールから結合テストを始め、順次下位へとテストを進めていく方法のこと。|["上位先テスト"," 上流優先テスト"," トップファースト法"," 上層優先テスト"," 順次統合テスト"," 階層順テスト"]
スタブ|トップダウンテスト方式でプログラミング開発をするとき、下位のモジュールができていない状態で上位のモジュールをテストするための下位モジュールの代用プログラム。|["下位モジュール stub"," ダミーモジュール"," 代用部品"," テスト用部品"," 一時モジュール"," 仮想モジュール"]
ボトムアップテスト|階層構造のモジュール群からなるソフトウェアの結合テストの進め方の一つ、最下位モジュールから結合テストを始め、順次上位モジュールの代わりの簡単なテスト用のモジュール。|["下位先テスト"," 下流優先テスト"," ボトムファースト法"," 下層優先テスト"," 部分統合テスト"," 部分結合テスト"]
回帰(リグレクション)テスト|ソフトウェアの保守にあたりシステムの一部に修正や変更を加えたときに、ほかの正常箇所にアク影響を及ぼさずに正しい結果が得られることを検証するテスト。|["保守影響テスト"," 変更影響テスト"," リグレッションテスト"," 回帰検証"," 修正影響テスト"," 変更波及テスト"]
負荷テスト|高い負荷をかけても正常に機能しているかどうかをシステムテスト工程で実施するテスト。|["性能テスト"," 耐久テスト"," ストレステスト"," 過負荷テスト"," 耐用テスト"," 限界テスト"]
機能テスト|システムの開発の際に行われるテストのうち、システムやソフトウェアが要求された機能を満たしているかどうかを検証するテスト。|["要件テスト"," 仕様テスト"," 機能確認"," 設計テスト"," 目的テスト"," 用途テスト"]
性能テスト|システムの応答時間や処理速度が使用通りの要件を満たしているかどうかを検証するテスト。|["負荷テスト"," パフォーマンステスト"," スピードテスト"," 反応テスト"," 速度テスト"," 能力テスト"]
キャッシュメモリ|CPUと主記憶装置との間に置いて、データを高速転送するために一時的に用いる記憶装置。|["キャッシュ記憶","記憶キャッシュ","記録トレイ"]
ディスクキャッシュ|ハードディスクなど低速な記憶装置からデータを読み込むとき、データを一時的にメモリに格納しておくことにより処理を高速化するしくみ。|["ディスク記憶","記憶ディスク","ディスクトレー","トレーディスク","ディスク記録","記録ディスク"]
プラグアンドプレイ|コンピュータに新しいハードウェアを追記するときなど、必要な設定をユーザが手動で設定作業をしなくても、OSが自動的に最適な設定を行うシステム。|["プラグインスタール","インストールプラグ","プラグオアプレイ","起動プラグ"]
SSD|HDD(ハードディスクドライブ)に比べて、軽量小型で読み書き速度も速い、半導体メモリを使用した記憶装置|["HSD","メモリ","CDD","COD","DSD"]
ウォーターフォールモデル|比較的大規模な開発に向いており、基本設計、外部設計などいくつかの工程に分割してシステムを開発する手法。原則として前の工程には戻らない。|["ウォーターアップモデル","ウォータサーバモデル","ウォーターサーバーモデル","ウォーターネームモデル"]
プロトタイピングモデル|試作品に対するユーザの評価をもとに、システムを開発する手法。|["試作品モデル","モデル試作品","試作開発","開発試作","試作方式","方式試作"]
スパイラルモデル|システムを独立性の高い部分ごとに分割し、ユーザの要求やインタフェースの検討などを経て、設計･プログラミング･テストの工程を繰り返してシステムを開発する手法。|["螺旋モデル","モデル螺旋","螺旋開発","開発螺旋","螺旋方式","方式螺旋"]
基本設計|ユーザと開発者が十分話し合い、ユーザからの要件をシステムに反映できるかを判断して、システムへの要求機能を決定する開発工程。|["根幹設計","設計根幹","基礎設計","設計基礎","基本計画","計画基本"]
外部設計|システム開発において、画面や帳票などを利用者側の視点から設計するシステム開発工程。|["顧客設計","設計顧客","外観設計","設計外観","外部計画","計画外部"]
内部設計|ソフトウェアのアルゴリズムや入出力データなどを詳細に設計するシステム開発工程。|["内観設計","設計内観","内装設計","設計内装","内部計画","計画内部"]
プログラム設計|内部設計に基づいて、各プログラムの内部構造を設計する開発工程。|["コード設計","設計コード","プログラム計画","計画プログラム","設計コーディング","コーディング設計"]
