#第36回(令和6年度)
OS|コンピュータ全体を管理するソフトウェアで，カーネルと呼ばれる制御プログラムと，言語プロセッサやサービスプログラムなどで構成されているもの。|["GUI","デバイスドライバ","ゲートウェイ"]
SSID|無線LANにおいて，アクセスポイントを識別するために設定されている最大32文字の半角英数記号。|["OSS","ONU","TCO"]
総合テスト|開発したシステムやソフトウェアが，ユーザの要求した設計通りの機能や性能を備えているかを確認するために，開発者が実施する最終テスト。|["退行テスト","受入れテスト","TDD"]
仮想化|1台のサーバを複数のサーバであるかのように動作させたり，複数のハードウェアを一つの論理的な装置に見せかけたりする技術。|["模倣","シミュレーション","シストリックアレイ"]
人間がコンピュータに個々の行動に対しての得点を報酬として与え，コンピュータがその報酬を最大化する行動を自律的に学習する手法。モンテカルロ法などのアルゴリズム手法が用いられる。|機械学習における強化学習の説明として，適切なもの。|["人間がコンピュータに正解のデータを与えず，コンピュータが入力されたデータのパターン化やグループ化などを行い，答えを導き出す手法。例として，購入履歴のクラスタ分析などがある。","生徒がICTを活用して，自ら学習を行う教育の手法。","人間がコンピュータに正解のデータを与え，コンピュータが入力された未知のデータに対して正誤の判断を行う手法。例として，故障品の検知や異常予測などがある。"]
転送速度が最大40Gbpsで4K動画や高画質な画像といった大容量のデータも以前の規格よりもスムーズに転送が可能となり，コネクタの形状がUSB Type-Cポートになっている。|USB4の説明として，適切なもの。|["下位互換性がないため，USB3.2までのポートでは利用できない。","機器同士を接続することで映像や音声を出力できるインタフェース規格で，端子の形状は四角形の一部が欠けたような形になっている。","シリアルインタフェースで，スーパースピードと呼ばれる5Gbpsのデータ転送モードをもつ。"]
CSS|Webページの作成や編集において，フォント，フォントサイズ，フォントカラーなどの視覚表現の情報を扱う標準仕様。|["CMS","RSS","SSL/TLS"]
技術を必要とする作業を外部に委託したり，損害賠償保険に加入したりすることで，リスクの影響を外部の業者に移転させる。|リスクマネジメントにおける転嫁の説明として，適切なもの。|["スケジュールが期日までに間に合わない作業そのものを中止するなど，予想される損失の根源を断つ。","作業のスケジュールが期日まで間に合わない場合，作業員の練度を向上させたり，熟練の作業員を割りあてたりする。","自分では対処できないクレームを受けた場合，より対処能力に優れた上位の管理者などに依頼して対応を引き継ぐ。"]
有効性|JIS Q 27000:2019では，情報セキュリティは主に三つの特性を維持することとされている。それら三つにあてはまらないもの。|["可用性","機密性","完全性"]
IPアドレスを通信可能な範囲内の機器にブロードキャストし，機器のMACアドレスを取得するためのプロトコル。|TCP/IPネットワークにおけるARPの説明として，適切なもの。|["IPアドレスから，ホスト名を得るためのプロトコル。","自らのMACアドレスをブロードキャストし，自らのIPアドレスをサーバなどから取得するためのプロトコル。","ホスト名から，IPアドレスを得るためのプロトコル。"]
企業が，データとデジタル技術を活用して既存の製品やサービスに変化を加えるとともに，組織やプロセスなども変革することで，競争上の優位性を確立すること。|DXの説明として，適切なもの。|["情報通信の発展に伴い生じるバリアを解消し，誰もが情報通信を利活用できるように整備された環境。","ディスプレイなどの電子機器を利用して，情報発信するメディア。","情報技術や情報機器を利活用する機会や能力によって，地域間や個人間で生じる，社会的または経済的な格差。"]
