garbage|ゴミ、生ゴミ
trash|ゴミ、紙くず
dust|ほこり
trap|わな、策略
brush|ブラシ、はけ
comb|くし；（くしで）髪をとかす
blanket|毛布
sheet|紙、一枚の紙、シーツ
label|ラベル、荷札
envelope|封筒
fashion|流行(しているもの)
style|流行、スタイル、様式
formal|正式の、形式ばった
tight|きつい、ゆとりのない
loose|ゆるい、ゆったりとした
wear|着る、身に着ける、すり減らす、すり減る
clothes|服
dress|に衣服を着せる、の服装をしている
costume|（民族などの）服装、（舞台の）衣装、仮装
tie|を縛る、を結ぶ
sew|～を縫う
frame|枠、額縁、フレーム
button|（衣服の、機械などの）ボタン
ring|指輪、輪、鳴る音
jewel|宝石、《通常（複）で》宝飾品
wallet|財布
mobile|携帯電話
portable|持ち運びできる、携帯用の
umbrella|傘
silk|絹、絹糸
cotton|綿
leather|革
feather|羽､羽毛
meal|食事
supper|夕食
dessert|デザート
diet|ダイエット、食事
snack|軽食、おやつ
chopstick|箸
bite|を噛む、に噛みつく、(虫が)を刺す
flavor|風味、味
delicious|とてもおいしい
bitter|苦い、つらい
sour|すっぱい、すえた
recipe|調理法、レシピ、秘訣
mix|を混ぜる、混ざる
pour|注ぐ、かける
fry|炒める、揚げる
boil|をゆでる、煮る、を沸かす、沸く
steam|...を蒸す、蒸気、水蒸気
