bake|（パンなど）を焼く
harvest|収穫（物）；収穫期
vegetable|野菜
meat|肉
wheat|小麦
flour|小麦粉
honey|ハチミツ
salt|塩
menu|メニュー
choice|選択（の幅・種類）
service|サービス，応対；公益事業；（運行）便
tip|チップ；秘訣
cancel|（を）取り消す，中止する
culture|文化，文化活動
hobby|趣味
amusement|楽しみ；おもしろさ；〔～s〕娯楽
entertainment|娯楽，気晴らし
collect|を集める，収集する
exhibit|を展示する；（感情・能力など）を出す
instrument|楽器；器具
tune|（正しい）音調；曲
film|【英】 映画（＝【米】 movie）；フィルム
cartoon|アニメ（動画）（＝ an animated cartoon）；風刺漫画
comic|漫画（雑誌・本）（＝ a comic book）
photograph|写真（＝ photo，picture）
portrait|肖像画；（詳しい）描写
magic|手品；魔法；不思議な力
tour|（周遊）旅行，ツアー；見学
journey|旅行；旅程；（～への）道のり
sightseeing|観光
adventure|冒険（旅行）；冒険心
explore|（を）探検する；を探求する
wander|（を）歩き回る，ぶらつく
camp|キャンプ，合宿；野営地
tourist|観光客，旅行者
passenger|乗客
guide|ガイド，案内人；案内書；指針
vacation|休暇
souvenir|土産，思い出の品
pack|（に）荷物を詰める，（を）荷造りする；を詰め込む
win|（競技など）（に）勝つ；を獲得する
victory|勝利
record|記録，最高記録
score|得点，スコア；成績
prize|賞
award|賞，賞金
race|競争，レース；人種；民族
match|試合；競争相手；適合する人［物］
tournament|トーナメント
professional|プロの（⇔ amateur 【形】 アマチュアの）；熟練した；専門職の
