CEILING(シーリング)|指定された基準値の倍数のうち、最も近い値に数値を切り上げる
FLOOR(フロア)|指定された基準値の倍数のうち、最も近い値に数値を切り捨てる
ABS(ABSolute:アブソルート)|指定された数値の絶対値を表す値を表示する
RANDBETWEEN(ランドビットウィーン)|再計算が行われるごとに、乱数を返す
SUMIFS(サムイフズ)|複数の条件に一致する数値の合計を求める
AVERAGEIFS(アベレージイフズ)|複数の条件に一致する数値の平均を求める
COUNTIFS(カウントイフズ)|複数の条件に一致するセルの個数を求める
FORECAST(フォーキャスト)|回帰直線上の値を返す
MEDIAN(メジアン)|指定された範囲(数値)の中央値を求める
IFERROR(イフエラー)|値に設定した式がエラーの時にエラーの場合の値を返す。値に設定した式の値を返す。
INDEX(インデックス)|指定した行番号と列番号が交差したセルのデータを参照する
OFFSET(オフセット)|表の中で指定した位置のセルを参照する関数
MODE(モード)|指定された範囲で、最も頻繁に出現する値(最頻値)を求める
COLUMN(カラム)|参照で指定したセルの列番号を求める引数を省略した場合は、関数を入力したセルの列番号を表示する
ROW(ロウ)|参照で指定したセルの行番号を求める引数を省略した場合は、関数を入力したセルの行番号を表示する
SUBSTITUTE(サブスティテュート)|文字列中の特定の文字(検索文字列)を他の文字(置換文字列)に置き換える
DSUM(Database SUM:ディーサム)|データベース内の指定された対象範囲のフィールド(列)を検索し、条件を満たすレコードの合計を求める
DAVERAGE(Database AVERAGE:ディーアベレージ)|データベース内の指定された対象範囲のフィールド(列)を検索し、条件を満たすレコードの平均を求める
DMAX(Database MAX:ディーマックス)|データベース内の指定された対象範囲のフィールド(列)を検索し、条件を満たすレコードの最大値を求める
DMIN(Database MIN:ディーミン)|データベース内の指定された対象範囲のフィールド(列)を検索し、条件を満たすレコードの最小値を求める
DCOUNT(Database COUNT:ディーカウント)|データベース内の指定された対象範囲のフィールド(列)を検索し、条件を満たすセル(数値が入力されているセル)の個数を求める
DCOUNTA(Database COUNTA:ディーカウントエー)|データベース内の指定された対象範囲のフィールド(列)を検索し、条件を満たすセル(データ(空白以外すべて)が入力されているセル)の個数を求める
