データベース|データが利用しやすいように分類・整列されたデータの集まり
DBMS|データベースの作成・運用・管理をするシステム
基本表|リレーショナルデータベースで、実際にデータが保存されている２次元の表
テーブル|入力したデータを保存しておく場所のことで、フィールドとレコードからなる２次元の表によって示したもの
レコード|１行ごとのデータのこと
フィールド|同じ性質を持つ１列ごとのデータのこと
データ型|フィールドに格納されるデータのサイズや性質
数値型|計算に使用できるデータ型で、右づめで表示される
文字型|計算には使用できないデータ型で、左づめで表示される
日付／時刻型|日付や時刻を表し、日数計算などができるデータ型
仮想表|基本表をもとにして、ある条件により作られる見かけ上の表のことで、ビュー表ともいう
関係演算|テーブルから選択、射影、結合などの操作により、新たに作成すること
選択|テーブルから条件を満たすレコードだけを取り出して、新たに表を作成すること
射影|テーブルから条件を満たすフィールドだけを取り出して、新たに表を作成すること
結合|２つ以上のテーブルから共通項目（レコード）をもとにして、新たに表を作成すること
集合演算|２つのテーブルから集合の考え方（和、積、差など）により、目的とするデータを取り出すこと
和|２つのテーブルにあるすべてのレコードを作成すること
差|一方のテーブルから他方のテーブルのレコードだけを取り除くこと
積|２つのテーブルの共通のレコードだけを取り出すこと
主キー|テーブルのレコードを識別するための目印
複合キー|レコードを指定する際に、複数の項目の組み合わせによって特定できるもの
外部キー|他のテーブルの主キーを参照する項目
