make|~を作る
take|取る
see|見る
work|働く
look|見て
call|呼ぶ
last|最後の
learn|覚える
tell|伝える
need|必要
enjoy|楽しむ
grow|成長する
give|与える
finish|終える
find|見つけ出す
move|動かす
send|送る
bring|持ってくる
try|やってみる
decide|決心する
hope|希望、期待
travel|旅行する
invite|招待する
join|加わる
plant|植物
show|見せる
become|~になる
hold|持つ
rain|雨
win|勝つ
put|置く
wear|身につけている
keep|保つ
sound|音
speak|話す
build|建てる
clean|清潔な
drive|運転する
happen|起こる
remember|思い出す
return|戻る
say|言う
sleep|寝る
paint|塗る
watch|見る
worry|心配する
save|救う
sell|売る
snow|雪
understand|理解する
begin|始める
borrow|借りる
cover|おおう
miss|失敗する
wait|待つ
arrive|着く
break|壊す
change|交換する
choose|選ぶ
graduate|卒業する
leave|出発する
lend|貸す
feel|触れる
pick|選ぶ
receive|受け取る
spend|使う
bake|焼く
draw|引く
skate|スケート
turn|回転させる
p.m|午後
zoo|動物園
animal|動物
festival|祭り
elephant|象
date|日付
subject|科目
store|店
a.m.|午前
toy|おもちゃ
movie|映画
weekend|週末
contest|コンテスト
money|金
restaurant|レストラン
trip|旅
information|情報
kind|親切な
dictionary|辞書
food|食べ物
doctor|医者
job|仕事
kitten|子猫
university|大学
part|部分
place|場所
fun|戯れ
parent|親
vacation|休暇
volunteer|ボランティア
band|バンド
chimpanzee|チンパンジー
library|図書館
plan|計画
e-mail|Eメール
hour|1時間
practice|練習
son|息子
country|国
meeting|会議
newspaper|新聞
scientist|科学者
stop|止める
area|範囲
aunt|おば
company|交際
cookie|クッキー
farmer|農場主
garden|庭
idea|考え
lesson|授業
medicine|医学
month|１ヶ月
pumpkin|かぼちゃ
space|空間
station|駅
weather|天気
word|言葉
care|不安
chocolate|チョコレート
factory|工場
ice|氷
pizza|ピザ
prize|賞
report|報告する
street|通り
visitor|訪問者
way|道路
concert|コンサート
cousin|いとこ
doghouse|犬小屋
group|集団
history|歴史
letter|手紙
minute|分
musician|音楽家
notice|通知
thing|もの、こと
ticket|切符、チケット
tiger|虎
uncle|おじ
website|ウェブサイト
floor|階
life|生活
office|事務所
pool|プール
winner|優勝者
building|建物
college|単科大学
daughter|娘
fair|公平な
French|フランス語
future|未来
government|政府
hospital|病院
instrument|楽器
jazz|ジャズ
person|人
pie|パイ
Spanish|スペイン語
vegetable|野菜
wife|妻
writer|作家
bookstore|書店
camera|カメラ
clothes|衣服
dish|皿
end|終わり
event|行事
farm|農場
forest|森林
grandmother|祖母
island|島
magazine|雑誌
member|一員
message|伝言
nature|自然
road|道
speech|スピーチ
supermarket|スーパーマーケット
train|電車
actor|俳優
beach|浜辺
color|色
convenience|便利
culture|文化
god|神
gym|体育館
husband|夫
machine|機械
paper|紙
plane|飛行機
president|大統領
question|質問
salad|サラダ
tournament|試合
war|戦争
other|他の
dear|親愛なる~へ
well|元気な
free|無料、暇
best|最も良い
famous|有名な
special|特別な
little|少しの~
sorry|申し訳なく思って
better|より良い
popular|人気のある
right|右の、正しい
favorite|お気に入りの
sick|病気の
busy|忙しい、混雑した
late|遅れた
most|大部分の
beautiful|美しい
close|近い
different|別の
enough|十分な
Sure|確かな
ready|準備が出来て
glad|うれしい
same|同じ
difficult|難しい
fine|元気な
Italian|イタリア人の
surprised|驚いた
afraid|怖がって
each|それぞれの
exciting|わくわくさせる
professional|プロの
wild|野生の
angry|怒っている
another|もうひとつの
delicious|おいしい
foreign|外国の
important|重要な
interesting|おもしろい
tired|飽きて
useful|役立つ
warm|暖かい
hungry|空腹の
lost|道に迷った
main|主な
native|原産の
nervous|緊張した
wrong|間違った
first|最初に
next|次に
also|~もまた
again|再び
around|あちこちを、およそ
before|以前に
hard|熱心に
just|ちょうど
often|よく、しばしば
later|あとで
yet|まだ、もう
together|一緒に
ago|~前に
never|1度も~ない
ever|今までに
outside|外側に
still|今でも、まだ
tonight|今夜は
already|既に
usually|いつもは
early|早く
part-time|パートタイムで
even|~でさえ
everywhere|どこでも
far|遠方に
once|1度
when|~するとき
if|もし
because|なぜなら
than|~よりも
until|~するまで
while|~する間に
by|~のそばに
over|~より多く
between|2つのものの間に
during|~の間中
since|~以来
across|~を横切って
one|ひとつのもの
all|全てのもの
anyone|誰か、誰も~ない
should|~~した方がいい
could|~することができた
must|~しなければならない
deliver|運ぶ
answer|答える
believe|信じる
collect|集める
Cost|費用がかかる
cross|横切る
die|死ぬ
enter|入る
fall|落ちる
fight|戦う
hurt|痛む
jog|ジョギングする
lose|失う
pay|支払う
protect|保護する
reach|届く
ride|乗る
share|共有する
agree|賛成する
catch|捕まえる
celebrate|祝う
check|調べる
contact|連絡を取る
expect|期待する
fly|飛ぶ
follow|従う
forget|忘れる
hit|打つ
hurry|急ぐ
invent|発明する
kill|殺す
pass|合格する、手渡す
perform|上演する、演じる
shut|閉める
smell|においがする
taste|~の味がする
attack|攻撃する
carry|運ぶ
continue|続く
cry|泣く
destroy|破壊する
exchange|交換する
fit|サイズに合う
guess|推測する
imagine|想像する
introduce|紹介する
jump|飛ぶ
mean|意味する
order|注文する
push|押す
relax|くつろぐ
sail|後悔する
serve|食べ物などを出す
shake|振る、握る
shout|叫ぶ
snowboard|スノーボードをする
steal|盗む
throw|投げる
wake|目が覚める
welcome|歓迎する
height|高さ、身長
hurricane|ハリケーン
icecream|アイスクリーム
Olympic|オリンピック
parade|パレード
stamp|切手
worker|労働者
air|空気
airport|空港
bike|自転車
cafeteria|食堂
chance|機会、可能性
circle|円
Customer|客
dream|夢
ear|耳
exam|試験
fire|火、火事
million|100万
mountain|山
page|ページ
panda|パンダ
phone|電話
photo|写真
poster|ポスター
present|プレゼント
problem|問題
race|競走、レース
rule|ルール
scarf|スカーフ
star|星
theater|劇場、映画館
uniform|制服、ユニフォーム
wedding|結婚式
accident|事故
athlete|スポーツ選手
bakery|パン屋
bank|銀行
bicycle|自転車
captain|主将
celebration|祝い
cellphone|携帯電話
center|中心地
century|世紀
child|子ども
Chinese|中国語、中国人
cloth|布
coat|(衣服の)コート
dollar|ドル
dress|ドレス
example|例
experience|経験
fence|囲い、柵
German|ドイツ語、ドイツ人
grade|成績
grandfather|祖父
hamburger|ハンバーガー
hometown|故郷
Internet|インターネット
line|列、線
livingroom|居間
locker|ロッカー
manager|支配人
meal|食事
museum|博物館、美術館
point|点
pollution|汚染
reason|理由
recipe|レシピ
sale|セール
sandwich|サンドウィッチ
science|理科、科学
secret|秘密
side|側
slice|1切れ
textbook|教科書
tool|道具
top|頂上
tour|ツアー
tourist|旅行客
wood|木材
actress|女優
adventure|冒険
alarm|警報、アラーム
barbecue|バーベキュー
bathroom|浴室
beginner|初心者
bottom|底
bridge|橋
coach|コーチ
comedy|コメディー
computer|コンピューター
continent|大陸
Course|講座、進路
court|コート
decoration|装飾、飾り
dentist|歯医者
description|説明
dessert|デザート
dining|食事
discount|割引
doughnut|ドーナツ
entrance|入口
environment|環境
fact|事実
fruit|果物
gate|門
gift|贈り物
goal|ゴール
goldfish|金魚
headache|頭痛
health|健康
hill|丘
hobby|趣味
homestay|ホームステイ
jeans|ジーンズ
key|鍵
kid|子ども
kilogram|キログラム
kitchen|台所
land|陸
language|言語
law|法律
librarian|図書館員
mark|しるし
mayor|視聴
meat|肉
medal|メダル
necklace|ネックレス
nurse|看護師
painting|絵を描く
pancake|パンケーキ
price|価格
project|計画
promise|約束
queen|女王
rest|急速
rock|ロック、岩
schoolwork|学校の勉強
sciencefiction|SF
section|区域
sentence|文
sign|看板、掲示
sir|(男性)お客さま、先生
