SUM =(範囲)|指定したセル範囲の合計を求める関数
AVERAGE =(範囲)|指定したセル範囲の平均値を求める関数
MAX =(範囲)|指定したセル範囲の最大値を求める関数
MIN =(範囲)|指定したセル範囲の最小値を求める関数
RANK =(数値,参照,順序【０:降順 １:昇順】)|指定したセル範囲内での順位を求める関数
LARGE =(配列,順位)|指定した範囲の中で、ｎ番目に大きい数値を求める関数
SMALL =(配列,順位)|指定した範囲の中で、ｎ番目に小さい数値を求める関数
IF =(条件,値１,値２)|指定した条件により、真・偽を判定し、それぞれの場合に異なる処理をさせる関数
COUNT =(範囲)|指定した範囲で、数値データが入力されたセルの件数を求める関数
COUNTA =(範囲)|指定した範囲で、空白のセル以外の、数値または文字が入力されたセルの件数を求める関数
ROUND =(数値,桁数)|四捨五入して指定した桁数にする関数
ROUNDUP =(数値,桁数)|指定した桁数に切り上げる関数
ROUNDDOWN =(数値,桁数)|指定した桁数に切り捨てる関数
LEN =(文字列)|指定したセルの文字数を求める関数
LEFT =(文字列,文字数)|指定したセルの左端から指定した文字数を取り出す関数
RIGHT =(文字列,文字数)|指定したセルの右端から指定した文字数を取り出す関数
MID =(文字列,開始位置,文字数)|指定したセルの指定した文字位置から指定した文字数を取り出す関数
VALUE =(文字列)|指定した文字データを、数値データに変換する関数
NOW =()|現在の日付と時刻をシリアル値で表示する関数
TODAY =()|現在の日付をシリアル値で表示する関数
DATE =(年,月,日)|指定した日付のシリアル値を求める関数
YEAR =(シリアル値)|指定したシリアル値の年を求める関数
MONTH =(シリアル値)|指定したシリアル値の月を求める関数
DAY =(シリアル値)|指定したシリアル値の日を求める関数
WEEKDAY =(シリアル値)|指定したシリアル値の曜日を求める関数
TIME =(時,分,秒)|指定した時刻のシリアル値を求める関数
HOUR =(シリアル値)|指定したシリアル値の時刻を求める関数
MINUTE =(シリアル値)|指定したシリアル値の分を求める関数
SECOND =(シリアル値)|指定したシリアル値の秒を求める関数
INT =(数値)|引数によって示された数値を超えない最大の整数を求める
MOD =(数値,除数)|数値を除数で割った余りを求める
VLOOKUP =(検索値,範囲,列番号,検索方法［TRUEまたはFALSE］)|範囲内の左端の列を上から下方向に検索し、列番号で指定したデータを参照する関数
HLOOKUP =(検索値,範囲,行番号,検索方法［TRUEまたはFALSE］|範囲内の上端の行を左から右方向に検索し、行番号で指定したデータを参照する関数
SUMIFS =(合計対象範囲,条件範囲1,条件1,...)|指定された検索条件に一致するセルの合計を求める関数
COUNTIFS =(検索対象範囲,条件範囲1,...)|指定された検索条件に一致するセルの個数を求める関数
AVERAGEIFS =(平均対象範囲,条件範囲1,条件1,...)|指定された検索条件に一致するセルの平均を求める関数
INDEX =(配列,行番号,列番号)|指定した行番号と列番号が交差したセルのデータを参照する
MATCH =(検索値,検査範囲,照合の種類)|検査範囲を検索し、検査値と一致する値の相対的な位置を表す数値を参照する
TEXT =(値,表示形式)|値を指定した表示形式に変換する
FIND =(検索文字列,対象,開始位置)|セル内のデータのうち, 文字列がそのデータ内の開始位置から何番目にあるかを検索する(全角と半角大文字と小文字を区別する)
SEARCH =(検索文字列,対象,開始位置)|セル内のデータのうち, 文字列がそのデータ内の開始位置から何番目にあるかを検索する(全角と半角,大文字と小文字を区別しない)
論理演算子 AND|すべての条件を満たす
論理演算子 OR|いずれかの条件を満たす
論理演算子 NOT|条件を満たさない
