enjoy |【動】を楽しむ
smile |【動】ほほえむ
open |【動】を開ける（開く
close |【動】を閉じる；閉まる
feel |【動】感じる
think |【動】（と）思う，考える
write |【動】（を）書く
read |【動】を読む
tell |【動】を話す；を区別する
talk |【動】話す
speak |【動】（を）話す
meet |【動】（に）会う
join |【動】（に）参加する
move |【動】を動かす；動く；引っ越す
sit |【動】座る
stay |【動】泊まる
stand |【動】立つ；に耐える
fall |【動】落ちる
fly |【動】飛ぶ；飛行機で行く
swim |【動】泳ぐ
walk |【動】歩く
march |【動】行進する
return |【動】戻る；を返す
worry |【動】心配する；を心配させる
excuse |【動】を許す
help |【動】を助ける，手伝う
need |【動】を必要とする
hold |【動】を持つ；を保つ；を催す
catch |【動】を捕まえる
learn |【動】を学ぶ
teach |【動】を教える
answer |【動】に答える
watch |【動】を（じっと）見る；見守る
wait |【動】待つ
hear |【動】聞こえる
listen |【動】聞く
fan |【名】ファン；うちわ；換気扇
volunteer |【名】志願者，ボランティア
host |【名】もてなす人，主催者
concert |【名】コンサート，演奏会
festival |【名】祭り
zoo |【名】動物園
animal |【名】動物
village |【名】村
farm |【名】農場
country |【名】国；田舎；地方
world |【名】世界
land |【名】土地；陸；国土
forest |【名】森林
suburb |【名】（the ～s）郊外
date |【名】日にち；デート
second |【名】秒；少しの間
minute |【名】分；少しの間
holiday |【名】休日，祝日
week |【名】週
month |【名】月
season |【名】季節
line |【名】線；列；電話回線
course |【名】コース，課程；進路
point |【名】要点；点
problem |【名】問題
question |【名】質問
example |【名】例
Internet |【名】（the ～）インターネット
computer |【名】コンピューター
telephone |【名】電話；電話機
report |【名】報告，報告書
weather |【名】天気
cloud |【名】雲
dream |【名】夢
hope |【名】希望
thing |【名】事；物
last |【形】最後の；この前の
early |【形】早い
heavy |【形】重い
light |【形】明るい；軽い
bright |【形】明るい）；賢い
dark |【形】暗い；（色が）濃い
kind |【形】親切な；優しい
soft |【形】柔らかい（⇔hard かたい）
bad |【形】悪い；下手な
careful |【形】注意深い
sad |【形】悲しい
favorite |【形】お気に入りの
free |【形】自由な；無料の；空いている
useful |【形】役に立つ
safe |【形】安全な
special |【形】特別な
lucky |【形】幸運な
TRUE |【形】真実の）
visit |【動】（を）訪れる
buy |【動】を買う
plan |【動】を計画する
lose |【動】を失う，なくす；で負ける
break |【動】を壊す，割る；を破る；壊れる
carry |【動】を運ぶ
rain |【動】雨が降る
snow |【動】雪が降る
save |【動】を救う；をためる；を節約する
kill |【動】を殺す
die |【動】死ぬ；枯れる
cry |【動】泣く；叫ぶ
laugh |【動】笑う
sleep |【動】眠る
clean |【動】をきれいにする，掃除する
wash |【動】（を）洗う
throw |【動】を投げる
hit |【動】を打つ，たたく；にぶつかる
cover |【動】を覆う
cheer |【動】（に）喝采を送る
imagine |【動】（を）想像する
cut |【動】を切る
build |【動】を建てる
paint |【動】を塗る；を描く
change |【動】を変える；変わる；を交換する
climb |【動】を登る；よじ登る
grow |【動】育つ；増大する；を育てる
arrive |【動】到着する
hurry |【動】急ぐ；を急がせる
drop |【動】を落とす；落ちる
invite |【動】を招待する
introduce |【動】を紹介する
let |【動】（let A doで）（自由に）Aに～させる
borrow |【動】を借りる
push |【動】（を）押す
word |【名】単語；言葉；約束
language |【名】言語
speech |【名】スピーチ，演説
mouth |【名】口
voice |【名】声；意見
sound |【名】音
hundred |【名】百
thousand |【名】千
million |【名】百万
hair |【名】毛，髪の毛
color |【名】色
art |【名】美術；芸術；技術
building |【名】建物
wall |【名】壁
part |【名】部分；役
section |【名】節；区分；部門
piece |【名】一片，一部分；作品
breakfast |【名】朝食
noon |【名】正午
evening |【名】夕方，晩
fun |【名】楽しみ
project |【名】計画；事業
hole |【名】穴
treasure |【名】宝物
rule |【名】規則；支配
step |【名】歩み，1歩；（～s）階段
top |【名】最高部，頂上
goal |【名】目標；ゴール；得点
meter |【名】メートル
place |【名】場所，所
gift |【名】贈り物；才能
side |【名】側；わき
chance |【名】機会；可能性；偶然
uniform |【名】制服
front |【名】前面；正面
future |【名】未来，将来
lesson |【名】レッスン，稽古；課；【英】授業；教訓
different |【形】違う，異なる
same |【形】（the ～）同じ
foreign |【形】外国の
popular |【形】人気のある
famous |【形】有名な
short |【形】短い
pretty |【形】かわいい
cute |【形】かわいい
most |【形】大部分の，たいていの；最も多い...
great |【形】偉大な
full |【形】いっぱいの
enough |【形】十分な
own |【形】自分自身の；特有の
wonderful |【形】すばらしい
slow |【形】ゆっくりした，遅い；遅れている
loud |【形】（音・声が）大きい
low |【形】（高さや程度などが）低い
such |【形】そのような
maybe |【副】...かもしれない，たぶん；もしよければ
suddenly |【副】突然
over |【副】向こうに；上方に
back |【副】戻って；後ろに
still |【副】まだ；今でも
away |【副】離れて
again |【副】また，再び
soon |【副】もうすぐ
together |【副】一緒に
fast |【副】速く
ago |【副】（今から）...前に
even |【副】...でさえ
because |【接】なぜなら，...なので
since |【接】...した時から；...だから
until |【接】...するまで
between |【前】...の間に［を］
without |【前】...なしで
along |【前】...に沿って
behind |【前】...の後ろに；...に遅れて【副】後ろに
toward |【前】...に向かって
