win|勝つ
improve|を改善する
develop|を発達させる
increase|を増やす
grow|成長する
create|を創造する
produce|を生産する
provide|供給する
support|支持する
believe|信じる
consider|を(〜だと)見なす
expect|予期する、期待する
choose|選ぶ
decide|決める
suggest|提案する
explain|説明する
offer|提供する
allow|許す
require|必要とする
order|注文する
spend|使う
cost|かかる
pay|支払う
hold|持つ
store|保管する
reach|到着する
seem|思われる
appear|のように見える
happen|起こる
lie|うそをつく、横たわる
stand|立つ、我慢する
return|戻る
control|支配する
lead|導く
unite|結合する
follow|従う
include|含む
continue|続く
last|長持ちする
remain|のままでいる
discover|発見する
tend|傾向がある
concern|関係する、心配させる
brain|脳
mind|心、精神
thought|考え
view|意見
matter|問題
interest|興味
rule|規則
reason|理由
result|結果
cause|原因
effect|影響、効果
form|形
state|状態
research|研究、調査
skill|技術
technology|科学技術
education|教育
language|言語
passage|一節
sound|音
term|期間、学期
author|著者
experience|経験
culture|文化
individual|個人
company|会社
community|地域社会
society|社会
government|政府
population|人口
value|価値
environment|環境
amount|金額
situation|状況
free|自由な
human|人間の
close|ごく近い
enough|十分な
possible|可能な
common|共通の
certain|確信して、必ず
clear|明らかな
major|主要な
particular|特別の
similar|似ている
present|出席している、現在の
recent|最近の
low|低い
local|地元の
patient|我慢強い
serious|真剣な、深刻な
therefore|したがって
thus|したがって
rather|むしろ、かなり
instead|その代わりに
perhaps|もしかすると
unlike|と違って
agree|賛成する
accept|受け入れる
adapt|順応する
avoid|避ける
notice|気づく
wonder|思う
realize|理解する
wish|思う
demand|要求する
claim|主張する
argue|主張する
encourage|励ます
force|無理やりさせる
compare|比べる
imagine|想像する
challenge|異議を唱える
protect|保護する
save|節約する
involve|巻き込む
worry|心配する
affect|影響する
pick|選び取る
relate|関連づける
miss|乗り遅れる、逃す
lack|不足している
exist|存在する
share|共同で使う
fill|満たす
receive|受け取る
raise|上げる
add|加える
reduce|減らす
deal|対処する、扱う
describe|特徴を述べる
enter|入る
design|設計する
complete|終わらせる
depend|依存する
surprise|驚かせる
refer|言及する
fail|損なう
spread|広がる
measure|測る
plant|植物
nature|自然
climate|気候
condition|状況
sentence|文、刑
issue|出版する、問題
subject|科目、主題
source|源
practice|練習
experiment|実験
evidence|証拠
account|説明
influence|影響
benefit|利益
risk|危険性
fear|恐怖
rest|休息
quality|質
figure|図
project|事業
article|記事
professor|教授
effort|努力
knowledge|知識
memory|記憶
role|役割
movement|運動
opportunity|機会
disease|病気
medicine|薬
species|種
death|死
industry|産業
customer|顧客
likely|ありそうな
whole|全体の
native|生まれた土地の
various|さまざまな
general|一般的な
Physical|身体の
available|利用できる
expensive|高価な
political|政治の
safe|安全な
ancient|古代の
due|予定で、締め切りの
appropriate|適切な
correct|正しい
complex|複雑な
blank|空白の
mobile|可動式の
significant|重要な
eventually|ついに
nearly|もう少しで
mostly|たいてい
otherwise|さもないと
indeed|実に
express|表現する
communicate|意思を通じ合う
suppose|思う、もし~ならば
recognize|それとわかる
respect|尊敬する
regard|見なす
mention|言及する
bite|かみつく
prefer|方を好む
determine|決定する
contact|連絡を取る
approach|近づく
apply|申し込む
introduce|紹介する
establish|設立する
attend|出席する
serve|仕える,役立つ
treat|扱う
maintain|維持する
contain|含む
join|参加する
perform|行う
marry|結婚する
survive|生き残る
achieve|達成する
advance|進む
prevent|妨げる
gain|手に入れる
prove|証明する
fit|ぴったり合う
prepare|準備する
supply|供給する
mark|つける
solve|解決する
occur|起こる
object|物、反対する
damage|損害を与える
discuss|議論する
represent|象徴する
attack|襲う、攻撃する
waste|浪費する
bear|我慢する
material|材料、原料
moment|瞬間
crime|犯罪
trouble|苦労
loss|損害、失うこと
factor|要因、要素
resource|資源
cell|細胞
bill|請求書
range|範囲
medium|媒体、手段
generation|世代
purpose|目的
planet|惑星
region|地域
trade|貿易
attitude|態度
function|機能
policy|政策、方針
method|方法、手段
advantage|有利な点
character|性格
task|課題
economy|経済
focus|焦点
temperature|温度,体温
sort|種類
aspect|側面
detail|詳細
reality|現実
decade|10年間
feature|特徴
emotion|感情
charge|突撃する,管理
male|男性の
wild|野生の
urban|都市の
huge|巨大な
private|個人的な
worth|価値のある
essential|必要不可欠な
positive|積極的な
negative|否定的な
chemical|化学の
ordinary|普通の
unique|特有の
specific|特定の
central|中心的な
direct|直接の
current|現在の
official|公式の
mental|精神の
aware|気づいて
necessarily|必ずしも
merely|単に
unfortunately|残念なことに
moreover|その上、さらに
besides|しかも
seek|（～しようと）と努める , を探し求める
search|を（...求めて）検索する
observe|を観察する ， に気づく ， と述べる
survey|を（質問して）調査する
connect|を（...と）つなぐ ， を関連させる
separate|を（...から）分離する
divide|を分割する , 分類する ， を分配する
replace|を（...と）取り替える ， にとって代わる
hide|を隠す ， 隠れる
exchange|（を）交換する
respond|（...に）応答する ， 反応する
publish|を出版する
associate|を連想する ， （...と）付き合う
guess|を推測する ， （...だ）と思う
assume|～と仮定する
reflect|を反映する ， を反射する
indicate|（...ということ）を示す
reveal|を（...に）明らかにする ， 暴露する
doubt|を疑わしいと思う ， （...では）ないと思う
refuse|を拒む
match|調和する、匹敵する
ignore|を無視する
decrease|減る、減らす
decline|減る、衰える、断る
disappear|姿を消す
destroy|破壊する
burn|燃える、燃やす
estimate|推定する、評価する
manage|何とかやり遂げる、経営する
feed|食べ物を与える、を食べる
attract|惹きつける
promote|を促進する、(受身形で)昇格する
attempt|を試みる
contribute|貢献する、寄付する
succeed|成功する、後を継ぐ
desire|を強く望む
earn|を稼ぐ
satisfy|を満足させる
identify|を特定する、を同一のものとみなす
collect|を集める
invite|を招待する、(良くない事態を)引き起こす
taste|の味がする、味を見る
structure|構造
surface|表面、外見
degree|程度、(温度などの)度、学位
site|用地、場所、遺跡
content|内容、目次
profit|収益、利益
income|収入
career|経歴、生涯の職業
electricity|電気
fuel|燃料
household|世帯、家族
convenient|便利、便利なもの、便宜
principle|原理、主義
atmosphere|雰囲気、大気
difficulty|困難、苦労
conflict|争い、衝突
contrast|対称
poverty|貧困
ancester|祖先
birth|出産、誕生
race|民族、人種、競争
origin|起源
tradition|伝統、伝承
imigrate|(外国からの)移民
access|入手、接近
crowd|群衆
crop|作物
carbon|炭素
device|装置
creature|生き物
insect|昆虫
habit|習慣
audience|観衆
interview|面接
responsible|責任がある
financial|財政の
independent|自立した
familiar|よく知っている
normal|普通の
regular|定期的な
comfortable|快適な
obvious|明らかな
active|積極的な
potential|潜在的な
legal|法律上の
entire|全体の
quiet|静かな
terrible|ひどい
tiny|とても小さな
careful|注意深い
vast|膨大な
equal|等しい
fair|公正な
seldom|めったに...ない
somehow|どういうわけか
altogether|全く
lately|最近
furthermore|その上
engage|を従事させる
adopt|を採用する
acquire|取得する
expand|を拡大する
admit|認める
appreciate|をありがたく思う、を正しく認証（評価）する
examine|を調べる
judge|を判断する
remove|を取り去る
combine|を組み合われる
tie|を結びつける
define|を定義する
invent|を発明する
preserve|を保存する
fix|を修理する
stick|くっつく、を張り付ける
strike|に当たる、（考えが）（人）の心に浮かぶ
press|を押す
confuse|を混同させる、を困惑させる
excuse|を大目に見る、を弁解する
recall|思い出す
conduct|行う
behave|振る舞う
trust|信頼する
rely|頼る
count|数える
predict|予測する
aid|援助する
pull|引いて動かす
tear|引き裂く
suit|似合う
steal|盗む
suffer|苦しむ
complain|不平を言う
hurt|痛める
address|演説をする
enable|可能にする
graduate|卒業する
flow|流れる
emarge|現れる
belong|所属している
repeat|繰り返す
pollution|汚染
emission|排出量
progress|進歩
wealth|富
scale|規模
mass|集団
track|跡
trend|傾向
strategy|戦略
aim|目的
basis|基準
fund|資金
stock|株式
literature|文学
scene|場面
traffic|交通量
vehicle|乗り物
cancer|癌
universe|宇宙
authority|当局,権力
institution|機関
colleague|同僚
resident|居住者
volunteer|ボランティア
consequence|結果
capacity|能力
debate|論争
revolution|革命
custom|慣習
threat|恐れ
struggle|懸命の努力
context|状況
gene|遺伝子
phenomenon|現象
alternative|代替の
previous|以前の
former|以前の
relative|相対的な
primary|最も重要な
extreme|極端な
complicated|複雑な
accurate|正確な
false|誤った
intelligent|聡明な
intellectual|知的な
willing|いとわない
polite|丁寧な
formal|正規の
senior|高齢者の
violent|暴力的な
rare|珍しい
purchase|購入する
afford|持つ余裕がある
handle|扱う
demonstrate|証明する
consume|消費する
appeal|心に訴える
display|展示する
release|放出する
locate|置く
organize|組織する
operate|操作する
advertise|宣伝する
select|選び出す
compete|競争する
participate|参加する
conclude|結論づける
mix|混ぜる
perceive|～に気付く
smell|においがする
blow|吹く
